,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
20,1980-01-01,4119222.4446329717,14652526.110370383,14769924.470777713,4119222.4446329717,4119222.4446329717,10592109.690284647,10592109.690284647,10592109.690284647,10592109.690284647,10592109.690284647,10592109.690284647,0.0,0.0,0.0,14711332.134917619
21,1981-01-01,4320247.6310503585,14875814.999160886,14995656.49011743,4320247.6310503585,4320247.6310503585,10615442.869512599,10615442.869512599,10615442.869512599,10615442.869512599,10615442.869512599,10615442.869512599,0.0,0.0,0.0,14935690.500562958
22,1982-01-01,4529021.790680732,15094942.628543753,15216206.753954818,4529021.790680732,4529021.790680732,10627368.398375366,10627368.398375366,10627368.398375366,10627368.398375366,10627368.398375366,10627368.398375366,0.0,0.0,0.0,15156390.189056098
23,1983-01-01,4737795.950311105,15293155.655540382,15420912.91533418,4737795.950311105,4737795.950311105,10619386.46690763,10619386.46690763,10619386.46690763,10619386.46690763,10619386.46690763,10619386.46690763,0.0,0.0,0.0,15357182.417218734
24,1984-01-01,4946610.39707073,15478950.249707095,15597463.440369077,4946610.39707073,4946610.39707073,10592109.69028431,10592109.69028431,10592109.69028431,10592109.69028431,10592109.69028431,10592109.69028431,0.0,0.0,0.0,15538720.08735504
25,1985-01-01,5183349.460740207,15744137.978663526,15855244.016858496,5183349.460740207,5183349.460740207,10615442.869512027,10615442.869512027,10615442.869512027,10615442.869512027,10615442.869512027,10615442.869512027,0.0,0.0,0.0,15798792.330252234
26,1986-01-01,5419441.696366869,15985163.64061201,16111334.494870419,5419441.696366869,5419441.696366869,10627368.398375146,10627368.398375146,10627368.398375146,10627368.398375146,10627368.398375146,10627368.398375146,0.0,0.0,0.0,16046810.094742015
27,1987-01-01,5670212.14508549,16230536.71469697,16348869.851177888,5670212.14508549,5670212.14508549,10619386.466908175,10619386.466908175,10619386.466908175,10619386.466908175,10619386.466908175,10619386.466908175,0.0,0.0,0.0,16289598.611993667
28,1988-01-01,5920982.593804111,16449832.46488995,16574124.378839418,5920982.593804111,5920982.593804111,10592109.690284768,10592109.690284768,10592109.690284768,10592109.690284768,10592109.690284768,10592109.690284768,0.0,0.0,0.0,16513092.28408888
29,1989-01-01,6172440.084665169,16728727.229163924,16847850.164859436,6172440.084665169,6172440.084665169,10615442.86951279,10615442.86951279,10615442.86951279,10615442.86951279,10615442.86951279,10615442.86951279,0.0,0.0,0.0,16787882.95417796
30,1990-01-01,6423210.533201473,16990166.599763624,17114386.277941555,6423210.533201473,6423210.533201473,10627368.398375353,10627368.398375353,10627368.398375353,10627368.398375353,10627368.398375353,10627368.398375353,0.0,0.0,0.0,17050578.931576826
31,1991-01-01,6635937.241952433,17196131.46865289,17318033.60395178,6635937.241952432,6635937.241952432,10619386.46690866,10619386.46690866,10619386.46690866,10619386.46690866,10619386.46690866,10619386.46690866,0.0,0.0,0.0,17255323.708861094
32,1992-01-01,6848663.950703394,17377877.581039153,17498763.71514238,6848663.950703394,6848663.950703394,10592109.69028384,10592109.69028384,10592109.69028384,10592109.69028384,10592109.69028384,10592109.69028384,0.0,0.0,0.0,17440773.640987232
33,1993-01-01,7058811.265427787,17606205.09479603,17735051.52810725,7058811.265427787,7058811.265427787,10615442.869511262,10615442.869511262,10615442.869511262,10615442.869511262,10615442.869511262,10615442.869511262,0.0,0.0,0.0,17674254.13493905
34,1994-01-01,7268384.407161129,17835653.86432085,17953404.154058576,7268384.407161129,7268384.407161129,10627368.398375522,10627368.398375522,10627368.398375522,10627368.398375522,10627368.398375522,10627368.398375522,0.0,0.0,0.0,17895752.80553665
35,1995-01-01,7477957.549013779,18037415.159337085,18158471.82878201,7477957.549013779,7477957.549013779,10619386.466909928,10619386.466909928,10619386.466909928,10619386.466909928,10619386.466909928,10619386.466909928,0.0,0.0,0.0,18097344.01592371
36,1996-01-01,7687530.690866428,18221044.26333606,18340826.180574704,7687530.690866428,7687530.690866428,10592109.690282594,10592109.690282594,10592109.690282594,10592109.690282594,10592109.690282594,10592109.690282594,0.0,0.0,0.0,18279640.381149024
37,1997-01-01,7897678.005644125,18454476.75555287,18570074.408398494,7897678.005644125,7897678.005644125,10615442.869511895,10615442.869511895,10615442.869511895,10615442.869511895,10615442.869511895,10615442.869511895,0.0,0.0,0.0,18513120.87515602
38,1998-01-01,8107251.147430624,18676337.260519616,18793114.97351793,8107251.147430624,8107251.147430624,10627368.398375044,10627368.398375044,10627368.398375044,10627368.398375044,10627368.398375044,10627368.398375044,0.0,0.0,0.0,18734619.545805667
39,1999-01-01,8317209.486038566,18879828.777404483,18993281.86315366,8317209.486038566,8317209.486038566,10619386.46690937,10619386.46690937,10619386.46690937,10619386.46690937,10619386.46690937,10619386.46690937,0.0,0.0,0.0,18936595.952947937
40,2000-01-01,8555441.625479717,19086384.9883503,19204300.38458628,8555441.625479717,8555441.625479717,10592109.690284193,10592109.690284193,10592109.690284193,10592109.690284193,10592109.690284193,10592109.690284193,0.0,0.0,0.0,19147551.31576391
41,2001-01-01,8794326.45571386,19351643.166394353,19472042.928848267,8794326.45571386,8794326.45571386,10615442.869514441,10615442.869514441,10615442.869514441,10615442.869514441,10615442.869514441,10615442.869514441,0.0,0.0,0.0,19409769.325228304
