LOCATION,TIME,broad_money_growth_%
BRB,1967,19.57730812
BRB,1968,32.37209302
BRB,1969,7.4490513
BRB,1970,15.43492479
BRB,1971,18.35694051
BRB,1972,14.98324557
BRB,1973,2.443796836
BRB,1974,20.12029097
BRB,1975,17.02753908
BRB,1976,12.90798184
BRB,1977,9.985661614
BRB,1978,24.05950275
BRB,1979,26.54106697
BRB,1980,14.13212723
BRB,1981,14.62482947
BRB,1982,8.754151506
BRB,1983,11.22529809
BRB,1984,7.420769534
BRB,1985,9.127389146
BRB,1986,7.841977361
BRB,1987,18.01254207
BRB,1988,11.10385287
BRB,1989,2.679722304
BRB,1990,13.5532749
BRB,1991,-0.734096199
BRB,1992,5.327608609
BRB,1993,3.583867033
BRB,1994,7.554586521
BRB,1995,4.754927467
BRB,1996,17.94498883
BRB,1997,6.147538222
BRB,1998,7.936774951
BRB,1999,7.13233413
BRB,2000,9.598271877
BRB,2001,34.22777646
BRB,2002,15.374797
BRB,2003,4.616763181
BRB,2004,11.72918809
BRB,2005,16.88576982
BRB,2006,5.345196708
BRB,2007,20.91231072
BRB,2008,1.154007328
BRB,2009,0.573020933
BRB,2010,0
BRB,2011,0
BRB,2012,0
BRB,2013,3.758714738
BRB,2014,3.168232832
BRB,2015,6.121645792
BRB,2016,4.152880717
BRB,2017,1.215054597
BRB,2018,-0.188611974
BRB,2019,0
BRB,2020,0
BLR,1960,0
BLR,1961,0
BLR,1962,0
BLR,1963,0
BLR,1964,0
BLR,1965,0
BLR,1966,0
BLR,1967,0
BLR,1968,0
BLR,1969,0
BLR,1970,0
BLR,1971,0
BLR,1972,0
BLR,1973,0
BLR,1974,0
BLR,1975,0
BLR,1976,0
BLR,1977,0
BLR,1978,0
BLR,1979,0
BLR,1980,0
BLR,1981,0
BLR,1982,0
BLR,1983,0
BLR,1984,0
BLR,1985,0
BLR,1986,0
BLR,1987,0
BLR,1988,0
BLR,1989,0
BLR,1990,0
BLR,1991,0
BLR,1992,0
BLR,1993,0
BLR,1994,0
BLR,1995,158.4136951
BLR,1996,52.42690154
BLR,1997,111.3596123
BLR,1998,276.0042142
BLR,1999,132.6520543
BLR,2000,219.2677871
BLR,2001,58.78201098
BLR,2002,49.0285325
BLR,2003,54.34536191
BLR,2004,49.98117199
BLR,2005,42.20927767
BLR,2006,39.26050451
BLR,2007,39.98746352
BLR,2008,26.34080711
BLR,2009,23.08048658
BLR,2010,31.89197536
BLR,2011,121.2394452
BLR,2012,45.05444891
BLR,2013,19.84764875
BLR,2014,23.86669812
BLR,2015,36.54154288
BLR,2016,3.796080099
BLR,2017,17.4262119
BLR,2018,8.493068022
BLR,2019,12.20548254
BLR,2020,0
BEL,1960,0
BEL,1961,0
BEL,1962,0
BEL,1963,0
BEL,1964,0
BEL,1965,0
BEL,1966,0
BEL,1967,0
BEL,1968,0
BEL,1969,0
BEL,1970,0
BEL,1971,0
BEL,1972,0
BEL,1973,0
BEL,1974,0
BEL,1975,0
BEL,1976,0
BEL,1977,0
BEL,1978,0
BEL,1979,0
BEL,1980,0
BEL,1981,0
BEL,1982,0
BEL,1983,0
BEL,1984,0
BEL,1985,0
BEL,1986,0
BEL,1987,0
BEL,1988,0
BEL,1989,0
BEL,1990,0
BEL,1991,0
BEL,1992,0
BEL,1993,0
BEL,1994,0
BEL,1995,0
BEL,1996,0
BEL,1997,0
BEL,1998,0
BEL,1999,0
BEL,2000,0
BEL,2001,0
BEL,2002,0
BEL,2003,0
BEL,2004,0
BEL,2005,0
BEL,2006,0
BEL,2007,0
BEL,2008,0
BEL,2009,0
BEL,2010,0
BEL,2011,0
BEL,2012,0
BEL,2013,0
BEL,2014,0
BEL,2015,0
BEL,2016,0
BEL,2017,0
BEL,2018,0
BEL,2019,0
BEL,2020,0
BLZ,1960,0
BLZ,1961,0
BLZ,1962,0
BLZ,1963,0
BLZ,1964,0
BLZ,1965,0
BLZ,1966,0
BLZ,1967,0
BLZ,1968,0
BLZ,1969,0
BLZ,1970,0
BLZ,1971,0
BLZ,1972,0
BLZ,1973,0
BLZ,1974,0
BLZ,1975,0
BLZ,1976,0
BLZ,1977,2.584520816
BLZ,1978,26.55590358
BLZ,1979,3.235768858
