LOCATION,TIME,"Automated teller machines (ATMs) (per 100,000 adults)"
BEL,1977,0
BEL,1978,0
BEL,1979,0
BEL,1980,0
BEL,1981,0
BEL,1982,0
BEL,1983,0
BEL,1984,0
BEL,1985,0
BEL,1986,0
BEL,1987,0
BEL,1988,0
BEL,1989,0
BEL,1990,0
BEL,1991,0
BEL,1992,0
BEL,1993,0
BEL,1994,0
BEL,1995,0
BEL,1996,0
BEL,1997,0
BEL,1998,0
BEL,1999,0
BEL,2000,0
BEL,2001,0
BEL,2002,0
BEL,2003,0
BEL,2004,83.89361914
BEL,2005,83.57976655
BEL,2006,83.11522448
BEL,2007,86.71008069
BEL,2008,87.6043746
BEL,2009,87.37220268
BEL,2010,91.76123263
BEL,2011,93.31863439
BEL,2012,94.22660691
BEL,2013,93.95303708
BEL,2014,90.92947829
BEL,2015,90.0170715
BEL,2016,88.3423792
BEL,2017,85.63951803
BEL,2018,80.96540644
BEL,2019,0
BEL,2020,0
BLZ,1960,0
BLZ,1961,0
BLZ,1962,0
BLZ,1963,0
BLZ,1964,0
BLZ,1965,0
BLZ,1966,0
BLZ,1967,0
BLZ,1968,0
BLZ,1969,0
BLZ,1970,0
BLZ,1971,0
BLZ,1972,0
BLZ,1973,0
BLZ,1974,0
BLZ,1975,0
BLZ,1976,0
BLZ,1977,0
BLZ,1978,0
BLZ,1979,0
BLZ,1980,0
BLZ,1981,0
BLZ,1982,0
BLZ,1983,0
BLZ,1984,0
BLZ,1985,0
BLZ,1986,0
BLZ,1987,0
BLZ,1988,0
BLZ,1989,0
BLZ,1990,0
BLZ,1991,0
BLZ,1992,0
BLZ,1993,0
BLZ,1994,0
BLZ,1995,0
BLZ,1996,0
BLZ,1997,0
BLZ,1998,0
BLZ,1999,0
BLZ,2000,0
BLZ,2001,0
BLZ,2002,0
BLZ,2003,0
BLZ,2004,28.02306238
BLZ,2005,29.41261282
BLZ,2006,31.13411576
BLZ,2007,32.69480206
BLZ,2008,34.11399242
BLZ,2009,35.41129471
BLZ,2010,37.0859141
BLZ,2011,38.59459862
BLZ,2012,37.76214345
BLZ,2013,40.02366617
BLZ,2014,40.43722752
BLZ,2015,39.98955375
BLZ,2016,39.64053959
BLZ,2017,38.51442173
BLZ,2018,44.55627195
BLZ,2019,39.72288731
BLZ,2020,0
BEN,1960,0
BEN,1961,0
BEN,1962,0
BEN,1963,0
BEN,1964,0
BEN,1965,0
BEN,1966,0
BEN,1967,0
BEN,1968,0
BEN,1969,0
BEN,1970,0
BEN,1971,0
BEN,1972,0
BEN,1973,0
BEN,1974,0
BEN,1975,0
BEN,1976,0
BEN,1977,0
BEN,1978,0
BEN,1979,0
BEN,1980,0
BEN,1981,0
BEN,1982,0
BEN,1983,0
BEN,1984,0
BEN,1985,0
BEN,1986,0
BEN,1987,0
BEN,1988,0
BEN,1989,0
BEN,1990,0
BEN,1991,0
BEN,1992,0
BEN,1993,0
BEN,1994,0
BEN,1995,0
BEN,1996,0
BEN,1997,0
BEN,1998,0
BEN,1999,0
BEN,2000,0
BEN,2001,0
BEN,2002,0
BEN,2003,0
BEN,2004,0
BEN,2005,0
BEN,2006,0
BEN,2007,0
BEN,2008,0
BEN,2009,0
BEN,2010,2.516575034
BEN,2011,2.874745641
BEN,2012,3.590333146
BEN,2013,4.488132864
BEN,2014,4.521610214
BEN,2015,4.597991159
BEN,2016,4.845750583
BEN,2017,4.885355686
BEN,2018,4.73531338
BEN,2019,4.941049033
BEN,2020,0
BMU,1960,0
BMU,1961,0
BMU,1962,0
BMU,1963,0
BMU,1964,0
BMU,1965,0
BMU,1966,0
BMU,1967,0
BMU,1968,0
BMU,1969,0
BMU,1970,0
BMU,1971,0
BMU,1972,0
BMU,1973,0
BMU,1974,0
BMU,1975,0
BMU,1976,0
BMU,1977,0
BMU,1978,0
BMU,1979,0
BMU,1980,0
BMU,1981,0
BMU,1982,0
BMU,1983,0
BMU,1984,0
BMU,1985,0
BMU,1986,0
BMU,1987,0
BMU,1988,0
BMU,1989,0
BMU,1990,0
BMU,1991,0
BMU,1992,0
BMU,1993,0
BMU,1994,0
BMU,1995,0
BMU,1996,0
BMU,1997,0
BMU,1998,0
BMU,1999,0
BMU,2000,0
BMU,2001,0
BMU,2002,0
BMU,2003,0
BMU,2004,0
BMU,2005,0
BMU,2006,0
BMU,2007,0
BMU,2008,0
BMU,2009,0
BMU,2010,0
BMU,2011,0
BMU,2012,0
BMU,2013,0
BMU,2014,0
BMU,2015,0
BMU,2016,0
BMU,2017,0
BMU,2018,0
BMU,2019,0
BMU,2020,0
BTN,1960,0
BTN,1961,0
BTN,1962,0
BTN,1963,0
BTN,1964,0
BTN,1965,0
BTN,1966,0
BTN,1967,0
BTN,1968,0
BTN,1969,0
BTN,1970,0
BTN,1971,0
BTN,1972,0
BTN,1973,0
BTN,1974,0
BTN,1975,0
BTN,1976,0
BTN,1977,0
BTN,1978,0
BTN,1979,0
BTN,1980,0
BTN,1981,0
BTN,1982,0
BTN,1983,0
BTN,1984,0
BTN,1985,0
BTN,1986,0
BTN,1987,0
BTN,1988,0
BTN,1989,0
BTN,1990,0
BTN,1991,0
BTN,1992,0
BTN,1993,0
BTN,1994,0
BTN,1995,0
BTN,1996,0
BTN,1997,0
BTN,1998,0
BTN,1999,0
BTN,2000,0
BTN,2001,0
BTN,2002,0
BTN,2003,0
BTN,2004,0.489833506
BTN,2005,0.474883416
BTN,2006,0.463020841
BTN,2007,2.262080073
BTN,2008,3.319964941
BTN,2009,4.332558527
BTN,2010,8.901813003
BTN,2011,14.91130878
BTN,2012,8.294004244
BTN,2013,21.14582716
BTN,2014,23.76733518
BTN,2015,28.75563762
BTN,2016,34.8345544
BTN,2017,39.44844888
BTN,2018,43.93045416
BTN,2019,0
BTN,2020,0
BOL,1960,0
BOL,1961,0
BOL,1962,0
BOL,1963,0
BOL,1964,0
BOL,1965,0
BOL,1966,0
